Row,VarName,CCI,Libor_1M,Libor_3M,Prime,Treasury,Office,Hotel,Industrial,Multihousing,Retail,Other,Volatility,Sell_off,Partial_releases
1,CCI,1,-0.837723082,-0.83323062,-0.810205922,-0.872490026,0.611952977,0.781862278,0.792633234,0.952426366,0.78248336,0.882006162,0.060518989,1.15,1
2,Libor_1M,-0.837723082,1,0.998069129,0.98315382,0.987539932,-0.303194606,-0.214455771,-0.64306662,-0.729247216,-0.422445408,-0.497375537,0.549022662,1.15,1
3,Libor_3M,-0.83323062,0.998069129,1,0.980586629,0.989094935,-0.293767275,-0.209752882,-0.635894243,-0.724948399,-0.402588275,-0.488403267,0.526966421,1.15,1
4,Prime,-0.810205922,0.98315382,0.980586629,1,0.976853148,-0.323607206,-0.198572066,-0.618356146,-0.72201155,-0.448986874,-0.500099108,0.221572661,1.15,1
5,Treasury,-0.872490026,0.987539932,0.989094935,0.976853148,1,-0.367256888,-0.313856882,-0.684531182,-0.782241806,-0.488059059,-0.587234186,0.465870431,1.15,1
6,Office,0.611952977,-0.303194606,-0.293767275,-0.323607206,-0.367256888,1,0.705296076,0.767592965,0.716018132,0.838506154,0.933259601,0.123841765,1.15,1
7,Hotel,0.781862278,-0.214455771,-0.209752882,-0.198572066,-0.313856882,0.705296076,1,0.5987679,0.800871121,0.634462254,0.852296914,0.143282747,1.15,1
8,Industrial,0.792633234,-0.64306662,-0.635894243,-0.618356146,-0.684531182,0.767592965,0.5987679,1,0.891901225,0.889435098,0.911603024,0.081889091,1.15,1
9,Multihousing,0.952426366,-0.729247216,-0.724948399,-0.72201155,-0.782241806,0.716018132,0.800871121,0.891901225,1,0.854765443,0.96689257,0.071794004,1.15,1
10,Retail,0.78248336,-0.422445408,-0.402588275,-0.448986874,-0.488059059,0.838506154,0.634462254,0.889435098,0.854765443,1,0.933496184,0.086139654,1.15,1
11,Other,0.882006162,-0.497375537,-0.488403267,-0.500099108,-0.587234186,0.933259601,0.852296914,0.911603024,0.96689257,0.933496184,1,0.101389452,1.15,1
